;;;;;;;;;;;;;;;;;;;;;;;
;#;Player;Team;GP;MPG;PPG;FGM;FGA;FG%;3PM;3PA;3P%;FTM;FTA;FT%;ORB;DRB;RPG;APG;SPG;BPG;TOV;PF
;1.;Landers Nolley II;NAN;24;31.5;20.8;6.4;14.5;.440;2.3;6.3;.368;5.7;7.3;.782;0.7;3.6;4.3;4.5;1.4;0.3;4.1;2.2
;2.;Nadir Hifi;PAR;21;21.4;19.0;5.9;13.4;.440;2.5;7.0;.354;4.8;5.3;.893;0.6;2.6;3.2;4.0;1.1;0.0;2.4;1.9
;3.;Mike Davis, Jr.;STR;20;24.9;18.7;5.5;13.2;.414;2.6;7.4;.354;5.2;6.4;.819;0.5;2.2;2.7;2.0;1.3;0.1;1.8;3.5
;4.;Mathis Dossou Yovo;N92;20;24.3;17.8;7.2;12.2;.588;0.0;0.0;.000;3.5;6.4;.551;3.1;4.2;7.3;0.8;0.7;0.2;1.4;2.4
;5.;Mike James;ASM;12;23.7;17.2;4.8;9.8;.487;1.6;3.7;.432;6.1;7.2;.849;0.3;2.4;2.8;5.0;1.2;0.0;1.7;2.3
;6.;Gregor Hrovat;DIJ;24;30.9;17.1;5.1;11.4;.447;1.7;5.6;.306;5.2;6.2;.839;1.0;2.5;3.5;3.5;1.3;0.3;2.2;3.4
;7.;Marcus Keene;STR;20;28.6;17.0;5.4;14.2;.377;2.3;7.8;.290;4.0;5.1;.784;0.4;2.1;2.5;6.0;0.8;0.0;3.0;2.5
;8.;Elie Okobo;ASM;21;23.0;16.8;5.2;8.7;.604;1.7;3.2;.529;4.6;5.2;.890;0.2;1.7;1.9;4.0;0.7;0.1;1.9;1.9
;9.;Ivan Fevrier;PORT;17;28.9;16.4;5.7;12.6;.453;2.3;6.1;.375;2.6;3.5;.763;1.4;4.4;5.8;2.1;0.6;0.2;2.7;1.9
;10.;Trevor Hudgins;LEM;24;28.2;15.9;5.0;11.2;.450;2.7;6.7;.400;3.2;3.4;.927;0.6;2.1;2.7;3.8;1.4;0.1;1.6;2.0
;11.;Hugo Robineau;BBD;17;24.3;15.6;4.4;8.5;.517;1.0;3.0;.333;5.8;6.9;.839;0.6;2.8;3.5;2.9;0.9;0.2;2.1;2.3
;12.;Mike Smith;PORT;13;28.9;15.6;4.3;10.6;.406;1.5;4.1;.358;5.5;6.1;.911;0.5;1.2;1.8;3.8;0.5;0.0;2.3;2.4
;13.;Angelo Warner;BBD;24;25.7;14.8;4.5;9.6;.472;1.8;4.3;.408;4.0;4.8;.828;0.4;3.0;3.4;3.7;1.1;0.0;2.3;2.1
;14.;Jeremiah Hill;CHA;23;27.3;14.7;5.4;13.6;.401;1.6;6.5;.247;2.2;2.5;.895;0.8;3.1;3.9;5.1;1.6;0.1;3.3;2.5
;15.;Gabe Brown;STR;21;31.3;14.5;5.1;11.4;.446;2.4;6.7;.355;2.0;2.2;.891;0.6;2.2;2.9;0.9;0.5;0.2;1.2;2.2
;16.;Stephane Gombauld;NAN;21;24.3;14.0;4.8;9.8;.493;0.2;1.1;.208;4.1;4.8;.861;1.6;3.8;5.4;0.9;0.6;0.8;1.7;2.7
;17.;Nick Johnson;SQB;24;28.8;14.0;4.2;10.7;.395;1.8;5.1;.350;3.8;4.7;.796;0.8;2.7;3.5;6.3;1.3;0.3;3.1;3.2
;18.;Nelly Joseph;STR;22;28.3;13.9;5.6;8.7;.649;0.0;0.1;.000;2.6;4.1;.644;3.3;6.1;9.5;1.1;0.7;1.0;2.5;2.5
;19.;Gerald Ayayi;CHO;24;22.1;13.8;4.7;9.0;.523;1.3;2.7;.462;3.2;3.8;.835;0.9;3.4;4.3;3.2;0.7;0.0;2.6;2.6
;20.;Edon Maxhuni;GRV;22;24.5;13.8;4.1;10.7;.387;1.8;5.5;.325;3.7;4.6;.812;0.3;1.6;2.0;3.0;0.5;0.0;2.1;2.6
;21.;Kregor Hermet;DIJ;10;23.2;13.7;5.1;7.7;.662;1.9;3.4;.559;1.6;2.1;.762;0.4;2.1;2.5;1.3;0.6;0.0;1.0;4.2
;22.;Both Gach;JLB;23;25.3;13.5;4.2;9.2;.460;1.5;4.5;.337;3.6;4.2;.854;0.3;2.7;3.0;1.9;0.8;0.2;1.5;2.4
;23.;Johnny Berhanemeskel;LEM;23;19.4;13.2;4.1;8.6;.475;2.1;4.6;.467;2.9;3.2;.904;0.6;1.3;1.9;1.4;0.4;0.0;0.9;1.6
;24.;Jared Rhoden;PAR;14;19.3;12.9;4.4;9.4;.470;1.8;5.1;.352;2.3;2.6;.865;0.9;2.0;2.9;1.8;0.8;0.3;1.6;2.3
;25.;David Holston;DIJ;23;22.5;12.9;4.0;8.6;.470;2.5;5.8;.436;2.3;2.4;.946;0.4;1.1;1.5;4.9;1.2;0.0;1.3;3.0
;26.;Eddie Ekiyor;SQB;24;27.8;12.8;5.1;9.1;.557;0.1;0.6;.143;2.6;4.4;.585;2.2;3.4;5.6;1.1;0.7;0.6;1.3;3.0
;27.;Gavin Ware;CSP;23;22.2;12.7;5.3;8.9;.600;0.0;0.1;.000;2.0;2.7;.738;2.3;3.9;6.2;1.8;0.8;0.7;1.6;3.1
;28.;Glynn Watson;LYV;21;25.4;12.4;4.2;9.0;.468;1.6;4.5;.358;2.3;2.6;.907;0.4;2.6;3.0;4.1;0.6;0.0;1.4;2.7
;29.;Nate Darling;CHA;14;20.3;12.4;4.4;10.4;.428;1.7;5.1;.333;1.9;2.6;.722;0.6;2.2;2.9;1.9;0.4;0.1;1.7;1.8
;30.;Adam Mokoka;JLB;21;23.6;12.3;4.0;8.2;.480;1.3;3.3;.391;3.1;4.7;.673;1.2;3.4;4.6;2.2;0.8;0.4;1.2;3.4
;31.;Zac Cuthbertson;CHA;24;26.2;12.3;3.5;7.2;.486;1.2;3.3;.367;4.1;4.9;.846;1.2;2.8;4.0;1.3;1.5;0.1;1.0;2.9
;32.;Benjamin Sene;N92;23;24.4;12.3;4.5;10.8;.419;1.3;4.8;.273;2.0;2.5;.776;0.4;1.3;1.8;6.0;1.0;0.0;2.1;2.0
;33.;Phlandrous Fleming, Jr.;NAN;21;28.8;12.3;4.5;10.7;.420;1.6;5.4;.298;1.7;2.4;.706;1.0;2.8;3.8;4.7;1.5;0.6;2.6;3.0
;34.;Chris Babb;GRV;19;29.8;12.3;3.3;8.7;.380;2.5;7.2;.346;3.2;3.6;.882;0.4;1.9;2.3;2.7;0.4;0.0;1.1;2.0
;35.;Tajuan Agee;GRV;1;24.0;12.0;3.0;8.0;.375;0.0;2.0;.000;6.0;8.0;.750;1.0;5.0;6.0;0.0;2.0;0.0;2.0;3.0
;36.;Nicolas Lang;CSP;21;29.8;12.0;3.8;7.4;.516;2.1;4.2;.494;2.3;2.5;.923;0.3;1.2;1.5;2.6;0.3;0.0;1.0;2.9
;37.;Justin Robinson;PAR;18;19.1;11.8;3.3;10.2;.322;1.3;5.0;.256;4.0;4.8;.837;0.2;1.8;2.0;4.4;1.1;0.1;2.8;2.6
;38.;Darius McGhee;JLB;22;25.2;11.7;3.9;10.3;.374;2.2;7.1;.314;1.7;2.0;.844;0.6;2.2;2.9;4.9;1.1;0.0;2.0;1.8
;39.;Frank Mason;CSP;19;26.4;11.6;4.1;9.4;.438;1.5;3.8;.403;1.9;3.3;.571;0.3;1.5;1.8;4.3;1.1;0.1;1.8;2.2
;40.;Nikola Mirotic;ASM;18;17.3;11.5;3.1;6.4;.474;1.6;3.6;.446;3.8;4.1;.919;0.6;2.8;3.4;1.1;0.9;0.4;1.1;1.8
;41.;Len Schoormann;N92;14;23.1;11.5;4.0;7.3;.549;1.3;3.1;.419;2.2;2.8;.795;0.7;0.9;1.6;1.9;0.6;0.1;2.2;2.6
;42.;Neftali Difuidi;SQB;24;21.9;11.5;4.1;9.7;.421;1.3;4.5;.294;2.0;2.6;.746;1.1;3.1;4.2;1.6;1.3;0.1;2.0;3.3
;43.;Nathan De Sousa;CHO;23;19.3;11.3;3.1;7.0;.441;0.9;2.5;.351;4.3;5.5;.780;0.5;2.0;2.5;4.8;0.9;0.2;1.8;2.1
;44.;Matthew Strazel;ASM;23;25.5;11.3;3.3;7.3;.452;1.4;4.2;.340;3.3;3.4;.949;0.3;2.3;2.7;5.1;0.9;0.0;1.6;1.9
;45.;Mike Lewis;GRV;24;25.6;11.3;3.9;9.1;.425;1.5;4.3;.340;2.0;2.6;.778;0.4;0.7;1.1;1.5;0.9;0.0;1.6;2.0
