;;;;;;;;;;;;;;;;;;;;;
;#;Player;Team;TS%;eFG%;Total S %;ORB%;DRB%;TRB%;AST%;TOV%;STL%;BLK%;USG%;PPR;PPS;ORtg;DRtg;eDiff;FIC;PER
;1.;Nadir Hifi;PAR;.604;.532;168.6;3.3;14.3;9.0;32.9;13.1;2.7;0.3;35.3;1.1;1.4;128.5;105.4;23.1;237.8;27.3
;2.;Elie Okobo;ASM;.768;.703;202.4;1.4;8.4;5.2;31.0;14.8;1.5;0.4;26.0;3.2;1.9;139.1;112.9;26.2;246.9;26.9
;3.;Mike James;ASM;.665;.568;176.8;1.9;11.8;7.2;35.8;11.4;2.5;0.0;28.4;6.8;1.8;134.7;111.0;23.7;151.8;26.7
;4.;Mathis Dossou Yovo;N92;.596;.588;114.0;15.8;21.7;18.7;6.6;8.3;1.6;1.0;30.1;-3.6;1.5;120.5;106.9;13.6;232.4;26.0
;5.;Bastien Vautier;LYV;.681;.672;129.9;16.1;19.0;17.6;11.2;13.1;1.8;2.4;24.3;-3.1;1.7;128.7;106.0;22.7;157.9;25.4
;6.;Nikola Mirotic;ASM;.697;.599;183.9;4.4;19.2;12.3;10.4;11.9;2.8;2.6;25.2;-2.1;1.8;130.4;104.3;26.1;149.0;24.6
;7.;Gavin Ware;CSP;.628;.600;133.8;13.9;23.0;18.5;17.7;13.8;1.9;3.4;25.3;-1.8;1.4;118.6;117.8;0.8;238.4;23.0
;8.;Hugo Robineau;BBD;.675;.576;169.0;3.5;14.7;9.2;23.9;15.5;2.1;0.9;26.2;-0.8;1.8;127.3;111.5;15.8;172.5;22.8
;9.;Mathieu Boyer;PORT;.632;.607;132.7;13.4;26.6;20.1;12.8;12.0;1.2;2.4;23.2;-2.3;1.4;120.2;115.0;5.1;100.4;22.7
;10.;David Holston;DIJ;.667;.616;185.2;2.3;6.6;4.5;38.0;11.5;2.8;0.2;23.1;8.8;1.5;133.6;119.1;14.4;232.0;22.7
;11.;Johnny Berhanemeskel;LEM;.658;.598;184.6;3.9;8.9;6.3;13.3;8.4;1.1;0.3;25.9;0.2;1.5;133.7;122.1;11.6;166.4;22.5
;12.;Nathan De Sousa;CHO;.602;.503;157.1;3.3;12.7;7.9;44.4;15.9;2.3;1.1;25.8;7.1;1.6;123.7;108.0;15.7;207.6;22.2
;13.;Martin Breunig;NAN;.721;.677;207.4;13.3;17.0;15.1;15.9;9.0;0.8;2.3;15.7;3.1;1.9;151.2;123.0;28.3;58.6;21.9
;14.;Mike Davis, Jr.;STR;.586;.513;158.7;2.5;11.3;6.7;15.3;10.1;2.7;0.5;32.6;-2.1;1.4;121.0;114.8;6.2;166.9;21.8
;15.;Nelly Joseph;STR;.663;.649;129.4;14.2;28.1;21.0;7.2;19.3;1.3;4.0;21.0;-6.4;1.6;117.4;109.9;7.5;280.3;21.4
;16.;Trevor Hudgins;LEM;.626;.569;177.7;2.6;10.1;6.2;22.6;11.1;2.7;0.3;23.3;3.4;1.4;129.1;116.8;12.3;266.0;21.2
;17.;Daniel Theis;ASM;.705;.664;170.8;8.4;20.4;14.8;12.7;17.2;1.0;5.7;21.7;-3.0;1.8;125.3;110.1;15.2;92.0;21.0
;18.;Neal Quinn;GRV;.716;.639;150.8;12.3;28.5;20.2;14.3;15.6;0.7;3.7;15.9;0.1;1.8;138.8;115.4;23.4;149.3;20.7
;19.;Jared Rhoden;PAR;.610;.564;168.7;5.4;12.1;8.8;15.7;13.4;2.1;1.7;26.7;-2.2;1.4;123.1;110.1;13.0;102.1;20.2
;20.;Gerald Ayayi;CHO;.648;.593;182.0;5.0;18.9;11.9;28.3;19.5;1.6;0.0;26.6;-2.1;1.5;116.1;108.2;7.9;219.4;20.1
;21.;Kregor Hermet;DIJ;.794;.786;198.3;2.3;11.9;7.1;10.4;10.4;1.4;0.0;19.7;-0.6;1.8;137.9;126.1;11.8;79.1;20.0
;22.;Nikola Jovanovic;CSP;.706;.624;143.3;12.1;20.2;16.2;7.9;17.6;1.1;1.6;23.8;-6.2;2.0;123.9;121.1;2.9;125.1;20.0
;23.;Angelo Warner;BBD;.631;.563;170.7;2.2;14.6;8.6;28.5;16.6;2.3;0.2;25.8;0.6;1.5;118.7;113.5;5.3;237.5;19.8
;24.;Paul Eboua;LYV;.675;.590;185.2;11.3;28.2;20.1;4.3;15.2;0.7;1.3;20.9;-5.3;1.7;127.7;107.6;20.1;63.8;19.7
;25.;Bastien Grasshoff;LEM;.609;.578;157.5;3.0;9.3;6.0;21.2;11.5;3.0;0.0;22.2;3.0;1.5;124.0;117.7;6.4;87.3;19.3
;26.;Landers Nolley II;NAN;.586;.520;159.0;2.6;14.4;8.3;27.4;18.9;2.4;1.1;31.3;-3.5;1.4;108.2;115.0;-6.8;276.8;19.1
;27.;Stephane Gombauld;NAN;.589;.505;156.2;8.0;19.4;13.5;6.9;12.3;1.3;3.3;25.0;-4.3;1.4;116.1;114.1;1.9;180.1;19.1
;28.;Fousseyni Traore;STR;.658;.615;133.4;18.0;26.1;21.9;7.5;18.5;1.6;2.7;14.0;-2.7;1.7;128.2;110.4;17.8;113.3;19.0
;29.;Kevin Kokila;JLB;.689;.580;235.6;13.2;20.9;17.1;7.6;19.2;2.3;3.2;17.9;-4.4;2.1;127.3;107.4;19.9;197.8;18.9
;30.;Adam Mokoka;JLB;.599;.558;154.5;6.7;19.0;12.8;17.1;10.7;1.8;1.9;22.6;1.1;1.5;123.0;109.6;13.5;182.3;18.8
;31.;Jonathan Jeanne;LEM;.683;.743;121.2;13.7;22.5;18.0;5.9;18.3;0.4;8.1;18.8;-5.2;1.9;119.1;112.8;6.3;54.5;18.7
;32.;Terry Tarpey;ASM;.641;.622;153.5;8.9;22.3;16.1;10.3;9.0;3.8;2.5;13.1;2.0;1.5;133.5;101.5;32.0;167.4;18.4
;33.;Derek Willis;PAR;.678;.648;184.8;12.0;22.1;17.3;8.5;16.1;2.3;3.2;15.6;-2.1;1.5;132.2;104.7;27.4;120.1;18.3
;34.;Matthew Strazel;ASM;.641;.551;174.2;1.9;10.4;6.5;30.7;15.1;1.9;0.0;19.0;7.1;1.5;130.1;111.1;19.0;233.6;18.2
;35.;Lucas Dufeal;LEM;.643;.652;141.0;12.0;14.9;13.4;12.9;20.3;2.2;9.4;13.5;-0.4;1.5;122.6;112.1;10.5;200.3;18.1
;36.;Gregor Hrovat;DIJ;.606;.522;159.2;4.3;10.6;7.5;19.6;13.5;2.3;1.1;25.1;0.5;1.5;117.5;118.1;-0.6;248.4;18.0
;37.;Glynn Watson;LYV;.610;.558;173.4;2.3;12.1;7.5;28.4;11.9;1.3;0.0;21.3;5.4;1.4;127.3;110.3;17.1;189.8;17.9
;38.;Mouhamed Faye;PAR;.757;.760;141.6;15.6;24.4;20.2;2.4;22.9;1.9;6.5;11.9;-5.1;1.9;128.2;103.9;24.4;121.5;17.7
;39.;Zac Cuthbertson;CHA;.659;.569;169.9;5.7;13.7;9.7;8.2;10.0;3.0;0.4;17.5;-0.7;1.7;131.4;107.6;23.7;210.4;17.5
;40.;Sebastian Herrera;PAR;.629;.598;176.1;5.5;7.5;6.6;18.1;11.7;2.2;0.6;18.6;2.7;1.4;135.7;109.4;26.3;145.6;17.5
;41.;Leopold Cavaliere;PAR;.681;.657;161.3;11.6;16.8;14.3;11.4;16.5;2.0;0.8;13.8;-0.1;1.6;134.9;106.1;28.9;174.1;17.4
;42.;Kevarrius Hayes;ASM;.658;.610;135.0;10.8;16.6;14.0;5.7;13.4;2.6;5.6;13.8;-1.5;1.7;129.3;106.6;22.7;140.3;17.2
;43.;Joel Ayayi;PAR;.602;.590;154.6;10.8;16.4;13.7;22.5;23.7;3.6;0.8;16.8;0.7;1.3;119.2;102.1;17.1;171.6;17.2
;44.;Armel Traore;LYV;.574;.548;145.0;11.9;20.6;16.6;9.4;10.6;1.8;1.9;18.2;-0.4;1.3;121.0;104.1;16.9;96.6;17.1
;45.;Isaiah Cozart;NAN;.613;.645;106.5;14.8;21.0;17.8;4.8;11.5;2.2;6.3;11.5;-1.0;1.5;127.4;111.1;16.3;197.0;17.0
;46.;Nemanja Nedovic;ASM;.674;.632;183.9;2.1;8.5;5.6;26.2;15.1;1.3;0.0;20.1;4.2;1.5;126.7;113.9;12.8;113.4;17.0
;47.;Benjamin Sene;N92;.517;.480;146.8;2.2;7.0;4.6;42.7;15.2;2.3;0.2;25.8;7.8;1.1;115.0;110.3;4.7;199.5;17.0
